Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01 - Katalon11Test,Chrome 122.0.0.0,,,05-03-2024 12:39:42,05-03-2024 12:40:13,31.347s,PASSED
,,,,,,,
Test Cases/UC01 - Katalon11Test/TC0101,Chrome 122.0.0.0,,,05-03-2024 12:39:42,05-03-2024 12:39:47,4.390s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:39:42,05-03-2024 12:39:44,1.145s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/"")",Chrome 122.0.0.0,,,05-03-2024 12:39:44,05-03-2024 12:39:44,0.080s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_First Name_firstname""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 12:39:44,05-03-2024 12:39:44,0.682s,PASSED
"setText(findTestObject(""Page_Customer Details Form/input_Last Name_lastname""), ""canonc"")",Chrome 122.0.0.0,,,05-03-2024 12:39:44,05-03-2024 12:39:45,0.584s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_Age_age""), ""2"")",Chrome 122.0.0.0,,,05-03-2024 12:39:45,05-03-2024 12:39:45,0.553s,PASSED
"click(findTestObject(""Page_Customer Details Form/input_Age_sub""))",Chrome 122.0.0.0,,,05-03-2024 12:39:45,05-03-2024 12:39:46,0.318s,PASSED
"verifyTextPresent(""Customer Details"", false)",Chrome 122.0.0.0,,,05-03-2024 12:39:46,05-03-2024 12:39:46,0.262s,PASSED
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC01.png"")",Chrome 122.0.0.0,,,05-03-2024 12:39:46,05-03-2024 12:39:46,0.334s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:39:46,05-03-2024 12:39:47,0.264s,PASSED
,,,,,,,
Test Cases/UC01 - Katalon11Test/TC0102,Chrome 122.0.0.0,,,05-03-2024 12:39:47,05-03-2024 12:39:50,3.414s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:39:47,05-03-2024 12:39:47,0.532s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/"")",Chrome 122.0.0.0,,,05-03-2024 12:39:47,05-03-2024 12:39:47,0.047s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_First Name_firstname""), ""Johnj"")",Chrome 122.0.0.0,,,05-03-2024 12:39:47,05-03-2024 12:39:48,0.629s,PASSED
